n,timestamp,original_timestamp,part,caption,filename,full_res_url
1,0:00,0:00,1,Wake up on the mud roof beside the Nile,01_0-00.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233009_9081ea27-0480-4f90-b780-96600ab5a66c.png
2,0:07,0:07,1,"No coffee, no weekend, and a man with a blank scroll",02_0-07.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_67f6034e-05c1-42a2-b764-3b42e2d46623.png
3,0:13,0:13,1,"Your grain, and roughly 14 hours to survive",03_0-13.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_092f0296-6c42-4b45-a6b1-39201ef784ec.png
4,0:22,0:22,1,"Not a pharaoh, not a priest, statistically a farmer",04_0-22.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_24a042de-c3a4-4422-91b6-2091362c17b0.png
5,0:28,0:28,1,A mud brick house in a village you'll never leave,05_0-28.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_dc97e4c1-d903-4a2f-8de2-7f785614b9ca.png
6,0:34,0:34,1,"3000 years of history, so we pick the New Kingdom",06_0-34.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_c38a4c4e-1ea9-4d87-9f11-6409ee6deefe.png
7,0:40,0:40,1,"The stretch with the most everyday evidence: houses, receipts",07_0-40.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234801_6d7b4197-f365-4c16-8980-0d730009d082.png
8,0:46,0:46,1,"Sick notes and arguments. Right, get up",08_0-46.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_d1cf14f9-7e29-45cb-b13d-505d31d0d60d.png
9,0:54,0:54,1,"Nile mud mixed with straw, dried in the sun",09_0-54.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_e84be06f-8d15-419a-bc77-113670ab6ef7.png
10,1:01,1:01,1,"Thick walls, tiny high windows, cool inside",10_1-01.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_baffadcd-35a7-4366-bdf5-8796b418ccd1.png
